user_id,song_id,listen_count,title,release,artist_name,year
b80344d063b5ccb3212f76538f3d9e43d87dca9e,1,2,Entre Dos Aguas,Flamenco Para Niños,Paco De Lucia,1976
b80344d063b5ccb3212f76538f3d9e43d87dca9e,2,1,Stronger,Graduation,Kanye West,2007
b80344d063b5ccb3212f76538f3d9e43d87dca9e,3,1,Constellations,In Between Dreams,Jack Johnson,2005
b80344d063b5ccb3212f76538f3d9e43d87dca9e,4,1,Learn To Fly,There Is Nothing Left To Lose,Foo Fighters,1999
b80344d063b5ccb3212f76538f3d9e43d87dca9e,5,5,Apuesta Por El Rock 'N' Roll,Antología Audiovisual,Héroes del Silencio,2007
b80344d063b5ccb3212f76538f3d9e43d87dca9e,6,1,Paper Gangsta,The Fame Monster,Lady GaGa,2008
b80344d063b5ccb3212f76538f3d9e43d87dca9e,7,1,Stacked Actors,There Is Nothing Left To Lose,Foo Fighters,1999
b80344d063b5ccb3212f76538f3d9e43d87dca9e,8,1,Sehr kosmisch,Musik von Harmonia,Harmonia,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,9,1,Heaven's gonna burn your eyes,Hôtel Costes 7 by Stéphane Pompougnac,Thievery Corporation feat. Emiliana Torrini,2002
b80344d063b5ccb3212f76538f3d9e43d87dca9e,10,1,Let It Be Sung,If I Had Eyes,Jack Johnson / Matt Costa / Zach Gill / Dan Lebowitz / Steve Adams,2007
b80344d063b5ccb3212f76538f3d9e43d87dca9e,11,5,I'll Be Missing You (Featuring Faith Evans & 112)(Album Version),No Way Out,Puff Daddy,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,12,1,Love Shack,Original Hits - Rock,The B-52's,1989
b80344d063b5ccb3212f76538f3d9e43d87dca9e,13,1,Clarity,As/Is: Cleveland/Cincinnati_ OH - 8/03-8/04/04,John Mayer,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,14,5,I?'m A Steady Rollin? Man,Diggin' Deeper Volume 7,Robert Johnson,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,15,1,The Old Saloon,Incredibad,The Lonely Island,2009
b80344d063b5ccb3212f76538f3d9e43d87dca9e,16,6,Behind The Sea [Live In Chicago],Live In Chicago,Panic At The Disco,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,17,1,Champion,Graduation,Kanye West,2007
b80344d063b5ccb3212f76538f3d9e43d87dca9e,18,1,Breakout,There Is Nothing Left To Lose,Foo Fighters,1999
b80344d063b5ccb3212f76538f3d9e43d87dca9e,19,1,Ragged Wood,Fleet Foxes,Fleet Foxes,2008
b80344d063b5ccb3212f76538f3d9e43d87dca9e,20,1,Mykonos,Sun Giant,Fleet Foxes,2008
b80344d063b5ccb3212f76538f3d9e43d87dca9e,21,1,Country Road,En Concert,Jack Johnson / Paula Fuga,2009
b80344d063b5ccb3212f76538f3d9e43d87dca9e,22,1,Oh No,Noble Beast,Andrew Bird,2009
b80344d063b5ccb3212f76538f3d9e43d87dca9e,23,1,Love Song For No One,Room For Squares,John Mayer,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,24,1,Jewels And Gold,A Book Like This,Angus & Julia Stone,2007
b80344d063b5ccb3212f76538f3d9e43d87dca9e,25,1,Warning,Live in Malaysia 2004,Incubus,2001
b80344d063b5ccb3212f76538f3d9e43d87dca9e,26,1,83,Serendipity - Music From The Miramax Motion Picture,John Mayer,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,27,1,Neon,Where The Light Is: John Mayer Live In Los Angeles,John Mayer,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,28,1,The Middle,Bleed American,Jimmy Eat World,2001
b80344d063b5ccb3212f76538f3d9e43d87dca9e,29,2,High and dry,12 segundos de oscuridad,Jorge Drexler,2006
b80344d063b5ccb3212f76538f3d9e43d87dca9e,30,1,All That We Perceive,The Richest Man In Babylon,Thievery Corporation,2002
b80344d063b5ccb3212f76538f3d9e43d87dca9e,31,1,The Christmas Song  (LP Version),Songs You Know - Christmas Soul Classics,King Curtis,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,32,1,Our Swords (Soundtrack Version),Nick & Norah's Infinite Playlist - Music From The Original Motion Picture Soundtrack,Band Of Horses,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,33,1,Are You In?,Monuments And Melodies,Incubus,2001
b80344d063b5ccb3212f76538f3d9e43d87dca9e,34,1,Drive,Make Yourself,Incubus,1999
b80344d063b5ccb3212f76538f3d9e43d87dca9e,35,1,Generator,There Is Nothing Left To Lose,Foo Fighters,1999
b80344d063b5ccb3212f76538f3d9e43d87dca9e,36,1,Come Back To Bed,As/Is:  Philadelphia_ PA/Hartford_ CT - 8/14-8/15/04,John Mayer,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,37,1,He Doesn't Know Why,Fleet Foxes,Fleet Foxes,2008
b80344d063b5ccb3212f76538f3d9e43d87dca9e,38,1,Trani,Youth And Young Manhood,Kings Of Leon,2003
b80344d063b5ccb3212f76538f3d9e43d87dca9e,39,1,Bigger Isn't Better,Born on the Wrong Planet,The String Cheese Incident,1997
b80344d063b5ccb3212f76538f3d9e43d87dca9e,40,1,Sun Giant,Sun Giant,Fleet Foxes,2008
b80344d063b5ccb3212f76538f3d9e43d87dca9e,41,1,City Love,Any Given Thursday,John Mayer,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,42,1,Right Back,40oz To Freedom,Sublime,0
b80344d063b5ccb3212f76538f3d9e43d87dca9e,43,8,Moonshine,Thicker Than Water,Jack Johnson,2003
b80344d063b5ccb3212f76538f3d9e43d87dca9e,44,1,Holes To Heaven,Thicker Than Water,Jack Johnson,2003
85c1f87fea955d09b4bec2e36aee110927aedf9a,45,2,The Best of Times,The Best Of Times,Sage Francis,2010
bd4c6e843f00bd476847fb75c47b4fb430a06856,46,1,Sun Hands,Gorilla Manor,Local Natives,2009
bd4c6e843f00bd476847fb75c47b4fb430a06856,47,1,Camera Talk,Camera Talk,Local Natives,2009
bd4c6e843f00bd476847fb75c47b4fb430a06856,48,1,Belle,In Between Dreams,Jack Johnson,2005
bd4c6e843f00bd476847fb75c47b4fb430a06856,49,1,Auto Rock,Mr. Beast,Mogwai,2006
bd4c6e843f00bd476847fb75c47b4fb430a06856,50,2,Who Knows Who Cares,Gorilla Manor,Local Natives,2009
bd4c6e843f00bd476847fb75c47b4fb430a06856,51,1,Girlfriend,Wolfgang Amadeus Phoenix,Phoenix,0
bd4c6e843f00bd476847fb75c47b4fb430a06856,52,1,Armistice,Wolfgang Amadeus Phoenix,Phoenix,0
bd4c6e843f00bd476847fb75c47b4fb430a06856,53,1,Swimming In The Flood,Manners,Passion Pit,2009
8937134734f869debcab8f23d77465b4caaa85df,54,5,Streets On Lock,Def Jam 25_ Vol. 24 - Beef,Young Jeezy,2006
8937134734f869debcab8f23d77465b4caaa85df,55,5,The Way Things Go,Identification Parade,Octopus Project,2002
969cc6fb74e076a68e36a04409cb9d3765757508,56,2,A Pain That Im Used To,Playing The Angel,Depeche Mode,2005
969cc6fb74e076a68e36a04409cb9d3765757508,57,1,Medicating,Trainwreck,Boys Night Out,2005
969cc6fb74e076a68e36a04409cb9d3765757508,58,9,Crystal Blue Persuasion,Anthology,Tommy James And The Shondells,1968
969cc6fb74e076a68e36a04409cb9d3765757508,59,2,Don't Dream It's Over,Recurring Dream_ Best Of Crowded House (Domestic Only),Crowded House,1986
